STREAM COPY
Array size: 76.29 MB
Sample size: 1000
Sample data (cycle count):
stream 42966273
stream 41663606
stream 40528540
stream 39380432
stream 38454272
stream 37581616
stream 36809724
stream 36074832
stream 35507034
stream 34893647
stream 34331197
stream 33814625
stream 33396752
stream 32960313
stream 32561977
stream 32441926
stream 32539380
stream 32472049
stream 32499794
stream 32476093
stream 32428775
stream 32571464
stream 32479056
stream 32483785
stream 32958631
stream 32560393
stream 32479238
stream 32510242
stream 32454668
stream 32474405
stream 32459112
stream 32446248
stream 32476215
stream 32458334
stream 32483554
stream 32432542
stream 32478747
stream 32463034
stream 32475395
stream 32410271
stream 32482694
stream 32397001
stream 32479053
stream 32449408
stream 32478940
stream 32502257
stream 32516090
stream 32468148
stream 32458011
stream 32506298
stream 32508908
stream 32501010
stream 32439134
stream 32496890
stream 32472323
stream 32491093
stream 32437263
stream 32500336
stream 32489764
stream 32457127
stream 32526583
stream 32439077
stream 32512226
stream 32427072
stream 32489682
stream 32463287
stream 32474316
stream 32417706
stream 32485199
stream 32447335
stream 32471659
stream 32471043
stream 32478769
stream 32481213
stream 32435837
stream 32588474
stream 32439021
stream 32536082
stream 32421266
stream 32486361
stream 32435374
stream 32528774
stream 32419306
stream 32527314
stream 32551095
stream 32480170
stream 32509348
stream 32593064
stream 32527049
stream 32428974
stream 32477074
stream 32455159
stream 32455561
stream 32426008
stream 32487000
stream 32399174
stream 32513000
stream 32508599
stream 32371794
stream 32481338
stream 32455073
stream 32491355
stream 32446864
stream 32472095
stream 32431601
stream 32507294
stream 32416600
stream 32474435
stream 32431994
stream 32516240
stream 32423570
stream 32515770
stream 32476632
stream 32507956
stream 32479089
stream 32488689
stream 32442987
stream 32465874
stream 32565897
stream 32450490
stream 32478366
stream 32450530
stream 32510604
stream 32468096
stream 32491242
stream 32484001
stream 32432128
stream 32510836
stream 32457734
stream 32487263
stream 32453294
stream 32533882
stream 32438028
stream 32504551
stream 32457753
stream 32521362
stream 32455177
stream 32597940
stream 32522252
stream 32437565
stream 32484029
stream 32455369
stream 32498953
stream 32414132
stream 32555165
stream 32463472
stream 32481859
stream 32462288
stream 32500370
stream 32413196
stream 32513871
stream 32465551
stream 32483069
stream 32513234
stream 32439003
stream 32534388
stream 32438933
stream 32483548
stream 32436230
stream 32523495
stream 32430427
stream 32490867
stream 32376442
stream 32467977
stream 32496503
stream 32441731
stream 32480863
stream 32465393
stream 32492541
stream 32454741
stream 32519622
stream 32445648
stream 32554088
stream 32444781
stream 32493010
stream 32476181
stream 32462702
stream 32448804
stream 32507249
stream 32480786
stream 32424283
stream 32513247
stream 32423053
stream 32509967
stream 32449499
stream 32523529
stream 32388467
stream 32503519
stream 32431866
stream 32511693
stream 32382519
stream 32506950
stream 32494848
stream 32463387
stream 32489911
stream 32409889
stream 32467663
stream 32475487
stream 32495494
stream 32473795
stream 32528454
stream 32400308
stream 32506316
stream 32411956
stream 32498042
stream 32492574
stream 32426822
stream 32489146
stream 32457761
stream 32456442
stream 32436636
stream 32489704
stream 32489579
stream 32475694
stream 32471113
stream 32472460
stream 32446726
stream 32494193
stream 32459675
stream 32563876
