STREAM COPY
Array size: 76.29 MB
Sample size: 1000
Sample data (cycle count):
stream 43184971
stream 41759272
stream 40520140
stream 39531460
stream 38532376
stream 37691740
stream 36783292
stream 36152884
stream 35521020
stream 34933182
stream 34379749
stream 33910135
stream 33475807
stream 33002170
stream 32667575
stream 32589336
stream 32681240
stream 32590976
stream 32706246
stream 32677211
stream 32655250
stream 32710464
stream 32636792
stream 32698115
stream 32581291
stream 32673152
stream 32559162
stream 32694680
stream 32627109
stream 32599089
stream 32681182
stream 32578624
stream 32629645
stream 32607778
stream 32765469
stream 32599735
stream 32662406
stream 32636891
stream 32674908
stream 32615262
stream 32663915
stream 32609728
stream 32596919
stream 32633978
stream 32613196
stream 32628428
stream 32642060
stream 32687412
stream 32697036
stream 32619926
stream 32664741
stream 32635837
stream 32739812
stream 32635114
stream 32688259
stream 32598287
stream 33160451
stream 32747767
stream 32685068
stream 32747520
stream 32642548
stream 32674926
stream 32600201
stream 32693568
stream 32607969
stream 32707599
stream 32626499
stream 32685565
stream 32632451
stream 32607647
stream 32682353
stream 32651562
stream 32705542
stream 32622302
stream 32807988
stream 32614345
stream 32656009
stream 32695869
stream 32619508
stream 32640585
stream 32616628
stream 32726482
stream 32592475
stream 32706051
stream 32597090
stream 32712027
stream 32672899
stream 32618865
stream 32640366
stream 32626027
stream 32624168
stream 32588013
stream 32759591
stream 32590592
stream 32682298
stream 32589775
stream 32679266
stream 32670522
stream 32639735
stream 32603295
stream 32640899
stream 32642060
stream 32581428
stream 32672055
stream 32587417
stream 32683343
stream 32709498
stream 32604187
stream 32687723
stream 32598061
stream 32728865
stream 32614238
stream 32614168
stream 32607827
stream 32633140
stream 32640866
stream 32756290
stream 32671004
stream 32643807
stream 32641072
stream 32607543
stream 32687967
stream 32606823
stream 32691389
stream 32627864
stream 32637068
stream 32708874
stream 32624070
stream 32639954
stream 32594346
stream 32678150
stream 32646164
stream 32694937
stream 32617823
stream 32669833
stream 32658487
stream 32632201
stream 32680338
stream 32656015
stream 32651593
stream 32596663
stream 32656228
stream 32598196
stream 32626176
stream 32557702
stream 32634526
stream 32622900
stream 32727431
stream 32610694
stream 32657232
stream 32673819
stream 32608567
stream 32707024
stream 32673372
stream 32674078
stream 32697621
stream 32629330
stream 32755410
stream 32652371
stream 32686939
stream 32641743
stream 32661559
stream 32596087
stream 32722585
stream 32557056
stream 32677232
stream 32624421
stream 32565412
stream 32689482
stream 32609527
stream 32613888
stream 32607708
stream 32671628
stream 32583393
stream 32658347
stream 32634319
stream 32599741
stream 32626054
stream 32634889
stream 32633094
stream 32599692
stream 32629153
stream 32569052
stream 32654071
stream 32628230
stream 32717138
stream 32642557
stream 32593304
stream 32655805
stream 32643456
stream 32692154
stream 32608820
stream 32686330
stream 32609594
stream 32657945
stream 32648094
stream 32654385
stream 32663595
stream 32605501
stream 32661011
stream 32586225
stream 32639914
stream 32622631
stream 32646793
stream 32623637
stream 32676267
stream 32608710
stream 32622251
stream 32665393
stream 32625451
stream 32716907
stream 32583293
stream 32683319
stream 32618374
stream 32677763
stream 32637232
stream 32616917
stream 32648927
stream 32679467
stream 32678449
