STREAM COPY
TSC frequency: 3.20 GHz
Array size: 76.29 MB
Sample size: 1000
Sample data (cycle count):
stream 42523800
stream 41302908
stream 40183132
stream 39092440
stream 38181396
stream 37369192
stream 36624840
stream 35905621
stream 35360596
stream 34799872
stream 34262372
stream 33819956
stream 33369078
stream 32903787
stream 33006866
stream 32933025
stream 32915627
stream 33013274
stream 32886214
stream 32889152
stream 32863661
stream 32956175
stream 32977186
stream 32899575
stream 32918147
stream 32860730
stream 32937719
stream 32892913
stream 32953886
stream 32898828
stream 32927317
stream 32925922
stream 32909620
stream 32999639
stream 32895116
stream 32969917
stream 32918104
stream 32883526
stream 32948831
stream 32879735
stream 33001228
stream 32863214
stream 32914904
stream 32918181
stream 32884371
stream 32935577
stream 32863787
stream 32922606
stream 32845699
stream 32943939
stream 32905231
stream 32894982
stream 32951275
stream 32853190
stream 32942751
stream 32864863
stream 33002998
stream 32887610
stream 32866262
stream 32977176
stream 32838446
stream 32945779
stream 32857962
stream 32944168
stream 32904683
stream 32911241
stream 32914795
stream 32883127
stream 32958245
stream 32818658
stream 32958668
stream 32986069
stream 32901199
stream 32985835
stream 32879278
stream 32892075
stream 32868352
stream 32938197
stream 32941775
stream 32900919
stream 32942113
stream 32857945
stream 32938591
stream 32851441
stream 32918458
stream 32942498
stream 32887159
stream 32901967
stream 32857847
stream 32912433
stream 32883368
stream 32960936
stream 32985049
stream 32897835
stream 32898289
stream 32854888
stream 32949894
stream 32889509
stream 32943187
stream 32972294
stream 32897499
stream 32959912
stream 32849676
stream 32947042
stream 32862233
stream 32972242
stream 32946667
stream 32819468
stream 32929765
stream 32880509
stream 32967756
stream 32877296
stream 32997199
stream 33012879
stream 32945664
stream 32868623
stream 32854046
stream 32955502
stream 32933196
stream 32932364
stream 32903783
stream 32881488
stream 32967610
stream 32911010
stream 32958406
stream 32854991
stream 32971593
stream 32900108
stream 32903491
stream 32966872
stream 32902052
stream 32943253
stream 32855875
stream 32946026
stream 32943366
stream 32914265
stream 32943235
stream 32873750
stream 33002412
stream 32854025
stream 32955828
stream 32933224
stream 32904281
stream 32958826
stream 32876255
stream 32939236
stream 32921631
stream 32940946
stream 32899365
stream 32850682
stream 32888869
stream 32907209
stream 32953241
stream 32866856
stream 32934074
stream 32935561
stream 32909056
stream 32924925
stream 32878269
stream 32951753
stream 32845239
stream 32926019
stream 32929353
stream 32887640
stream 32915739
stream 32865987
stream 32917397
stream 32868907
stream 32989590
stream 32931560
stream 32889024
stream 32944253
stream 32854988
stream 32963584
stream 32867830
stream 32949035
stream 32926814
stream 32892623
stream 32904542
stream 32852005
stream 32902534
stream 32883343
stream 32899718
stream 32922334
stream 32882956
stream 32949632
stream 32859032
stream 32974580
stream 32871001
stream 32927844
stream 32899578
stream 32888320
stream 32934309
stream 32877245
stream 33461550
stream 32985033
stream 32973083
stream 33000289
stream 32925513
stream 32945889
stream 32872582
stream 32942507
stream 32889774
stream 32930069
stream 32934878
stream 32927275
stream 32947559
stream 32865441
stream 32962627
stream 32936503
stream 32913719
stream 32895924
stream 32881935
stream 32960768
stream 32845098
stream 32953320
stream 32927363
stream 32881323
stream 32954444
stream 32934269
stream 32968362
stream 32931093
stream 32927817
stream 32951290
stream 32924669
stream 32948282
stream 32894513
stream 32938871
stream 32860035
stream 32926720
stream 32911403
stream 32905091
stream 33015466
stream 32915600
stream 32991043
stream 32826605
stream 32979093
stream 32932450
stream 32890858
stream 32956748
stream 32854470
stream 33072150
stream 32899029
stream 32938890
stream 32948477
stream 32898572
stream 32962804
stream 32900069
stream 32988687
stream 32873359
stream 32951129
stream 32915120
stream 32875712
stream 32965928
stream 32852584
stream 32937774
stream 32871567
stream 32924967
stream 32960031
stream 32914923
stream 32940099
stream 32904006
stream 32941163
stream 32934632
stream 32983722
stream 32928460
stream 32896451
stream 32948824
stream 32902348
stream 32905771
stream 32873505
stream 32956020
stream 32910918
stream 32861659
stream 32937106
stream 32877589
stream 32920558
stream 32902494
stream 32932516
stream 32945685
stream 32881097
stream 32972032
stream 32864344
stream 32901940
stream 32874718
stream 32917629
stream 32958367
stream 32881481
stream 32941925
stream 32858831
stream 32944896
stream 32890042
stream 32945429
stream 32997594
stream 32919963
stream 33003509
stream 32907712
stream 32944344
stream 32837376
stream 32901958
stream 32922414
stream 32898191
stream 32944930
stream 32858904
stream 32932721
stream 32868858
stream 32968027
stream 32946535
stream 32908840
stream 32944287
stream 32882499
stream 32921298
stream 32812943
stream 32987499
stream 32934476
stream 32846872
stream 32939475
stream 32870187
stream 32922371
stream 32848466
stream 33009143
stream 32905103
stream 32899517
stream 32956822
stream 32861653
stream 32979550
stream 32858983
stream 32950668
stream 32912003
stream 32885221
stream 32962121
stream 32913871
stream 32976871
stream 32906358
stream 32904095
stream 32869541
stream 32902848
stream 32942869
stream 32878766
stream 32909413
stream 32851030
stream 32955688
stream 32937625
stream 32866286
stream 32980508
stream 32837608
stream 32929643
stream 32833503
stream 32957815
stream 32941394
stream 32895137
stream 32950940
stream 32872100
stream 32961511
stream 32877437
stream 32974863
stream 32953713
stream 32936567
stream 32946456
stream 32890536
stream 32950864
stream 32861117
stream 32926217
stream 32911738
stream 32898073
stream 32948398
stream 32903071
