STREAM COPY
Array size: 76.29 MB
Sample size: 1000
Sample data (cycle count):
stream 42499248
stream 41250528
stream 40109408
stream 39076528
stream 38187568
stream 37369500
stream 36611116
stream 35863332
stream 35303307
stream 34733757
stream 34121552
stream 33705068
stream 33219998
stream 32820128
stream 32696671
stream 32596907
stream 32677291
stream 32583808
stream 32642490
stream 32630839
stream 32616600
stream 32680768
stream 32670778
stream 32669379
stream 32631089
stream 32640698
stream 32626706
stream 32673679
stream 32644132
stream 32704093
stream 32725504
stream 32673500
stream 32698795
stream 32577350
stream 32741358
stream 32589538
stream 32646010
stream 32650383
stream 32616165
stream 32614056
stream 32595264
stream 32663012
stream 32627971
stream 32668443
stream 32544250
stream 32667532
stream 32624862
stream 32670967
stream 32642588
stream 32718038
stream 32586057
stream 32578938
stream 32639896
stream 32608137
stream 32645190
stream 32589849
stream 32690578
stream 32656433
stream 32535068
stream 32610042
stream 32633890
stream 32621309
stream 32620142
stream 32685318
stream 32605157
stream 32683859
stream 32555499
stream 32617746
stream 32639768
stream 32627715
stream 32582263
stream 32629400
stream 32682185
stream 32631193
stream 32693553
stream 32629367
stream 32617905
stream 32590611
stream 32666316
stream 32660188
stream 32585640
stream 32677123
stream 32620048
stream 32664347
stream 32559644
stream 32672841
stream 32617874
stream 32662089
stream 32643386
stream 32569908
stream 32598762
stream 32591144
stream 32594874
stream 32626947
stream 32661863
stream 32554249
stream 32651063
stream 32628815
stream 32668172
stream 32624326
stream 32655710
stream 32647558
stream 32628227
stream 32628266
stream 32568878
stream 32576774
stream 32604316
stream 32655967
stream 32603718
stream 32640457
stream 32628392
stream 32563545
stream 32655988
stream 32602932
stream 32656082
stream 32651477
stream 32643158
stream 32561298
stream 32698457
stream 32656765
stream 32585579
stream 32697737
stream 32599318
stream 32654382
stream 32627338
stream 32633390
stream 32586015
stream 32628758
stream 32576259
stream 32718700
stream 32646263
stream 32629129
stream 32664540
stream 32624676
stream 32631567
stream 32588830
stream 32688604
stream 32627666
stream 32685791
stream 32668389
stream 32592153
stream 32666603
stream 32620005
stream 32619679
stream 32574748
stream 32658035
stream 39307654
stream 38516374
stream 35564873
stream 34954178
stream 34428565
stream 33951661
stream 33471502
stream 33096155
stream 32663827
stream 32664305
stream 32647796
stream 32652355
stream 32691962
stream 32628699
stream 32734382
stream 32600893
stream 32679412
stream 32617332
stream 33088230
stream 32679952
stream 32700206
stream 32601572
stream 32592918
stream 32662571
stream 32571349
stream 32625274
stream 32564641
stream 32657661
stream 32582592
stream 32594835
stream 32669214
stream 32562819
stream 32682088
stream 32621723
stream 32592869
stream 32632406
stream 32659185
stream 32598571
stream 32670507
stream 32644282
stream 32599766
stream 32661965
stream 32589120
stream 32673722
stream 32586840
stream 32651216
stream 32580297
stream 32662385
stream 32668937
stream 32599171
stream 32641944
stream 32587106
stream 32645671
stream 32650276
stream 32651048
stream 32536015
stream 32624683
stream 32583582
stream 32654556
stream 32662190
stream 32600043
stream 32612011
stream 32530331
stream 32703397
stream 32634685
stream 32675136
stream 32623308
stream 32639838
stream 32673722
stream 32589403
stream 32647446
stream 32601344
stream 41581248
stream 34505889
